2024-05-28 17:07:35.626 [main] INFO  luonq.job.XxlJobConfig - >>>>>>>>>>> xxl-job config init.
2024-05-28 17:07:37.376 [main] INFO  luonq.polygon.RealTimeDataWS_DB - finish initialize many time. preTradeTime=1716895980000, openTime=1716895980000, closeCheckTime=Wed May 29 03:59:00 CST 2024
2024-05-28 17:07:39.419 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - opening websocket
2024-05-28 17:07:39.480 [Grizzly(2)] INFO  luonq.polygon.RealTimeDataWS_DB - connected
2024-05-28 17:07:39.723 [Grizzly(1)] INFO  luonq.polygon.RealTimeDataWS_DB - auth_success
2024-05-28 17:07:40.716 [main] INFO  luonq.futu.TradeApi - trade api initialize staring...
2024-05-28 17:07:40.753 [FTAPI4JNet] INFO  luonq.futu.TradeApi - TradeApi onInitConnect: ret=0 desc= connID=7201147105178874730
2024-05-28 17:07:40.762 [FTAPI4JNet] INFO  luonq.futu.TradeApi - TradeApi onInitConnect: ret=0 desc= connID=7201147105179635511
2024-05-28 17:07:43.722 [main] INFO  luonq.futu.TradeApi - trade api initialize finish start!
2024-05-28 17:07:43.836 [FTAPI4JNet] INFO  luonq.futu.TradeApi - unlock success
2024-05-28 17:07:46.760 [main] INFO  luonq.polygon.RealTimeDataWS_DB - finish init trade
2024-05-28 17:08:13.765 [pool-3-thread-1] INFO  luonq.strategy.backup.Strategy_DB - load 2024 finish
2024-05-28 17:08:56.223 [pool-3-thread-2] INFO  luonq.strategy.backup.Strategy_DB - load 2023 finish
2024-05-28 17:08:57.799 [pool-3-thread-3] INFO  luonq.strategy.backup.Strategy_DB - load 2022 finish
