ticker='BNOX', name='Bionomics Limited American Depository Shares', type=ADRC, active='true', cik='0001191070', composite_figi='BBG013QG2041'
ticker='BNR', name='Burning Rock Biotech Limited American Depositary Shares', type=ADRC, active='true', cik='0001792267', composite_figi='BBG00V1JWDY7'
ticker='BNTX', name='BioNTech SE American Depositary Share', type=ADRC, active='true', cik='0001776985', composite_figi='BBG00Q70B3V1'
ticker='BPTS', name='Biophytis SA ADS', type=ADRC, active='true', cik='0001768946', composite_figi='BBG00P80Q6X7'
ticker='BVXV', name='BiondVax Pharmaceuticals Ltd', type=ADRC, active='true', cik='0001611747', composite_figi='BBG007TGL1R2'
ticker='BWAY', name='Brainsway Ltd. American Depositary Shares', type=ADRC, active='true', cik='0001505065', composite_figi='BBG00N2K3XL3'
ticker='BZ', name='KANZHUN LIMITED American Depository Shares', type=ADRC, active='true', cik='0001842827', composite_figi='BBG01163M5L4'
ticker='BZUN', name='Baozun Inc. American Depositary Shares', type=ADRC, active='true', cik='0001625414', composite_figi='BBG008HNS333'
ticker='CALT', name='Calliditas Therapeutics AB American Depositary Shares', type=ADRC, active='true', cik='0001795579', composite_figi='BBG00TW5HX80'
ticker='CAN', name='Canaan Inc. American Depositary Shares', type=ADRC, active='true', cik='0001780652', composite_figi='BBG00QQ10GB3'
ticker='CD', name='Chindata Group Holdings Limited American Depositary Shares', type=ADRC, active='true', cik='0001807192', composite_figi='BBG00X71QNZ0'
ticker='CDZIP', name='Cadiz, Inc. Depositary Shares', type=ADRC, active='true', cik='0000727273', composite_figi='null'
ticker='CIH', name='China Index Holdings Limited American Depository Shares', type=ADRC, active='true', cik='0001749797', composite_figi='BBG00P7RT4C4'
ticker='CLLS', name='Cellectis S.A. American Depositary Shares', type=ADRC, active='true', cik='0001627281', composite_figi='BBG0084L1XN2'
ticker='CMMB', name='Chemomab Therapeutics Ltd. American Depositary Share', type=ADRC, active='true', cik='0001534248', composite_figi='BBG00N0PMGK1'
ticker='CMPS', name='COMPASS Pathways Plc American Depository Shares', type=ADRC, active='true', cik='0001816590', composite_figi='BBG00X0VY2N1'
ticker='CNTA', name='Centessa Pharmaceuticals plc American Depositary Shares', type=ADRC, active='true', cik='0001847903', composite_figi='BBG01081FC59'
